Name,Title
"Kimball, Mr. Edwin Nelson Jr",Mr.
"Nakid, Mr. Sahid",Mr.
"Hansen, Mr. Henry Damsgaard",Mr.
"Bowen, Mr. David John ""Dai""",Mr.
"Sutton, Mr. Frederick",Mr.
"Longley, Miss. Gretchen Fiske",Miss.
"Bostandyeff, Mr. Guentcho",Mr.
"O'Connell, Mr. Patrick D",Mr.
"Barkworth, Mr. Algernon Henry Wilson",Mr.
"Lundahl, Mr. Johan Svensson",Mr.
"Parr, Mr. William Henry Marsh",Mr.
"Skoog, Miss. Mabel",Miss.
"Davis, Miss. Mary",Miss.
"Leinonen, Mr. Antti Gustaf",Mr.
"Collyer, Mr. Harvey",Mr.
"Panula, Mrs. Juha (Maria Emilia Ojala)",Mrs.
"Thorneycroft, Mr. Percival",Mr.
"Jensen, Mr. Hans Peder",Mr.
"Skoog, Miss. Margit Elizabeth",Miss.
"Foo, Mr. Choong",Mr.
"Baclini, Miss. Eugenie",Miss.
"Harper, Mr. Henry Sleeper",Mr.
"Cor, Mr. Liudevit",Mr.
"Willey, Mr. Edward",Mr.
"Stanley, Miss. Amy Zillah Elsie",Miss.
"Mitkoff, Mr. Mito",Mr.
"Doling, Miss. Elsie",Miss.
"Kalvik, Mr. Johannes Halvorsen",Mr.
"O'Leary, Miss. Hanora ""Norah""",Miss.
"Hegarty, Miss. Hanora ""Nora""",Miss.
"Hickman, Mr. Leonard Mark",Mr.
"Radeff, Mr. Alexander",Mr.
"Bourke, Mrs. John (Catherine)",Mrs.
"Eitemiller, Mr. George Floyd",Mr.
"Newell, Mr. Arthur Webster",Mr.
"Badt, Mr. Mohamed",Mr.
"Colley, Mr. Edward Pomeroy",Mr.
"Coleff, Mr. Peju",Mr.
"Lindqvist, Mr. Eino William",Mr.
"Hickman, Mr. Lewis",Mr.
"Butler, Mr. Reginald Fenton",Mr.
"Rommetvedt, Mr. Knud Paust",Mr.
"Cook, Mr. Jacob",Mr.
"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",Mrs.
"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",Mrs.
"Davidson, Mr. Thornton",Mr.
"Mitchell, Mr. Henry Michael",Mr.
"Wilhelms, Mr. Charles",Mr.
"Watson, Mr. Ennis Hastings",Mr.
"Edvardsson, Mr. Gustaf Hjalmar",Mr.
"Sawyer, Mr. Frederick Charles",Mr.
"Turja, Miss. Anna Sofia",Miss.
"Goodwin, Mrs. Frederick (Augusta Tyler)",Mrs.
"Cardeza, Mr. Thomas Drake Martinez",Mr.
"Peters, Miss. Katie",Miss.
"Hassab, Mr. Hammad",Mr.
"Olsvigen, Mr. Thor Anderson",Mr.
"Goodwin, Mr. Charles Edward",Mr.
"Brown, Mr. Thomas William Solomon",Mr.
"Laroche, Mr. Joseph Philippe Lemercier",Mr.
"Panula, Mr. Jaako Arnold",Mr.
"Dakic, Mr. Branko",Mr.
"Fischer, Mr. Eberhard Thelander",Mr.
"Madill, Miss. Georgette Alexandra",Miss.
"Dick, Mr. Albert Adrian",Mr.
"Karun, Miss. Manca",Miss.
"Lam, Mr. Ali",Mr.
"Saad, Mr. Khalil",Mr.
"Chapman, Mr. Charles Henry",Mr.
"Kelly, Mr. James",Mr.
"Mullens, Miss. Katherine ""Katie""",Miss.
"Thayer, Mr. John Borland",Mr.
"Humblen, Mr. Adolf Mathias Nicolai Olsen",Mr.
"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",Mrs.
"Silverthorne, Mr. Spencer Victor",Mr.
"Barbara, Miss. Saiide",Miss.
"Gallagher, Mr. Martin",Mr.
"Hansen, Mr. Henrik Juul",Mr.
"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",Mr.
"Kelly, Mrs. Florence ""Fannie""",Mrs.
"Calderhead, Mr. Edward Pennington",Mr.
"Cleaver, Miss. Alice",Miss.
"Klaber, Mr. Herman",Mr.
"Taylor, Mr. Elmer Zebley",Mr.
"Larsson, Mr. August Viktor",Mr.
"Greenberg, Mr. Samuel",Mr.
"Soholt, Mr. Peter Andreas Lauritz Andersen",Mr.
"Endres, Miss. Caroline Louise",Miss.
"Troutt, Miss. Edwina Celia ""Winnie""",Miss.
"McEvoy, Mr. Michael",Mr.
"Johnson, Mr. Malkolm Joackim",Mr.
"Harper, Miss. Annie Jessie ""Nina""",Miss.
"Jensen, Mr. Svend Lauritz",Mr.
"Gillespie, Mr. William Henry",Mr.
"Hodges, Mr. Henry Price",Mr.
"Chambers, Mr. Norman Campbell",Mr.
"Oreskovic, Mr. Luka",Mr.
"Renouf, Mrs. Peter Henry (Lillian Jefferys)",Mrs.
"Mannion, Miss. Margareth",Miss.
"Bryhl, Mr. Kurt Arnold Gottfrid",Mr.
"Ilmakangas, Miss. Pieta Sofia",Miss.
"Allen, Miss. Elisabeth Walton",Miss.
"Hassan, Mr. Houssein G N",Mr.
"Knight, Mr. Robert J",Mr.
"Berriman, Mr. William John",Mr.
"Troupiansky, Mr. Moses Aaron",Mr.
"Williams, Mr. Leslie",Mr.
"Ford, Mrs. Edward (Margaret Ann Watson)",Mrs.
"Lesurer, Mr. Gustave J",Mr.
"Ivanoff, Mr. Kanio",Mr.
"Nankoff, Mr. Minko",Mr.
"Hawksford, Mr. Walter James",Mr.
"Cavendish, Mr. Tyrell William",Mr.
"Ryerson, Miss. Susan Parker ""Suzette""",Miss.
"McNamee, Mr. Neal",Mr.
"Stranden, Mr. Juho",Mr.
"Abbott, Mr. Rossmore Edward",Mr.
"Sinkkonen, Miss. Anna",Miss.
"Marvin, Mr. Daniel Warner",Mr.
"Connaghton, Mr. Michael",Mr.
"Wells, Miss. Joan",Miss.
"Vande Velde, Mr. Johannes Joseph",Mr.
"Jonkoff, Mr. Lalio",Mr.
"Herman, Mrs. Samuel (Jane Laver)",Mrs.
"Carlsson, Mr. August Sigfrid",Mr.
"Bailey, Mr. Percy Andrew",Mr.
"Theobald, Mr. Thomas Leonard",Mr.
"Garfirth, Mr. John",Mr.
"Nirva, Mr. Iisakki Antino Aijo",Mr.
"Barah, Mr. Hanna Assi",Mr.
"Carter, Mrs. William Ernest (Lucile Polk)",Mrs.
"Eklund, Mr. Hans Linus",Mr.
"Hogeboom, Mrs. John C (Anna Andrews)",Mrs.
"Mangan, Miss. Mary",Miss.
"Moran, Mr. Daniel J",Mr.
"Gronnestad, Mr. Daniel Danielsen",Mr.
"Lievens, Mr. Rene Aime",Mr.
"Jensen, Mr. Niels Peder",Mr.
"Mack, Mrs. (Mary)",Mrs.
"Elias, Mr. Dibo",Mr.
"Hocking, Mrs. Elizabeth (Eliza Needs)",Mrs.
"Myhrman, Mr. Pehr Fabian Oliver Malkolm",Mr.
"Tobin, Mr. Roger",Mr.
"Emanuel, Miss. Virginia Ethel",Miss.
"Kilgannon, Mr. Thomas J",Mr.
"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",Mrs.
"Ayoub, Miss. Banoura",Miss.
"Dick, Mrs. Albert Adrian (Vera Gillespie)",Mrs.
"Long, Mr. Milton Clyde",Mr.
"Johnston, Mr. Andrew G",Mr.
"Ali, Mr. William",Mr.
"Harmer, Mr. Abraham (David Lishin)",Mr.
"Sjoblom, Miss. Anna Sofia",Miss.
"Guggenheim, Mr. Benjamin",Mr.
"Keane, Mr. Andrew ""Andy""",Mr.
"Gaskell, Mr. Alfred",Mr.
"Sage, Miss. Stella Anna",Miss.
"Hoyt, Mr. William Fisher",Mr.
"Dantcheff, Mr. Ristiu",Mr.
"Otter, Mr. Richard",Mr.
"Osman, Mrs. Mara",Mrs.
"Ibrahim Shawah, Mr. Yousseff",Mr.
"Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)",Mrs.
"Ponesell, Mr. Martin",Mr.
"Collyer, Mrs. Harvey (Charlotte Annie Tate)",Mrs.
"Hedman, Mr. Oskar Arvid",Mr.
"Johansson, Mr. Karl Johan",Mr.
"Andrews, Mr. Thomas Jr",Mr.
"Pettersson, Miss. Ellen Natalia",Miss.
"Meyer, Mr. August",Mr.
"Chambers, Mrs. Norman Campbell (Bertha Griggs)",Mrs.
"Alexander, Mr. William",Mr.
"Lester, Mr. James",Mr.
"Slemen, Mr. Richard James",Mr.
"Andersson, Miss. Ebba Iris Alfrida",Miss.
"Tomlin, Mr. Ernest Portage",Mr.
"Fry, Mr. Richard",Mr.
"Heininen, Miss. Wendla Maria",Miss.
"Mallet, Mr. Albert",Mr.
"Holm, Mr. John Fredrik Alexander",Mr.
"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",Mrs.
"Lulic, Mr. Nikola",Mr.
"Moor, Mrs. (Beila)",Mrs.
"Flynn, Mr. John",Mr.
"Lam, Mr. Len",Mr.
"McCormack, Mr. Thomas Joseph",Mr.
"Stone, Mrs. George Nelson (Martha Evelyn)",Mrs.
"Yasbeck, Mrs. Antoni (Selini Alexander)",Mrs.
"Saad, Mr. Amin",Mr.
"Augustsson, Mr. Albert",Mr.
"Allum, Mr. Owen George",Mr.
"Compton, Miss. Sara Rebecca",Miss.
"Pasic, Mr. Jakob",Mr.
"Sirota, Mr. Maurice",Mr.
"Chip, Mr. Chang",Mr.
"Marechal, Mr. Pierre",Mr.
"Alhomaki, Mr. Ilmari Rudolf",Mr.
"Mudd, Mr. Thomas Charles",Mr.
"Serepeca, Miss. Augusta",Miss.
"Lemberopolous, Mr. Peter L",Mr.
"Culumovic, Mr. Jeso",Mr.
"Abbing, Mr. Anthony",Mr.
"Sage, Mr. Douglas Bullen",Mr.
"Markoff, Mr. Marin",Mr.
"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",Mrs.
"Svensson, Mr. Johan",Mr.
"Boulos, Miss. Nourelain",Miss.
"Lines, Miss. Mary Conover",Miss.
"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",Mrs.
"Aks, Mrs. Sam (Leah Rosen)",Mrs.
"Wick, Mrs. George Dennick (Mary Hitchcock)",Mrs.
"Daly, Mr. Peter Denis ",Mr.
"Baclini, Mrs. Solomon (Latifa Qurban)",Mrs.
"Razi, Mr. Raihed",Mr.
"Hansen, Mr. Claus Peter",Mr.
"Giles, Mr. Frederick Edward",Mr.
"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",Mrs.
"Sage, Miss. Dorothy Edith ""Dolly""",Miss.
"Gill, Mr. John William",Mr.
"Bystrom, Mrs. (Karolina)",Mrs.
"Duran y More, Miss. Asuncion",Miss.
"Roebling, Mr. Washington Augustus II",Mr.
"van Melkebeke, Mr. Philemon",Mr.
"Balkic, Mr. Cerin",Mr.
"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",Mrs.
"Carlsson, Mr. Frans Olof",Mr.
"Vander Cruyssen, Mr. Victor",Mr.
"Abelson, Mrs. Samuel (Hannah Wizosky)",Mrs.
"Najib, Miss. Adele Kiamie ""Jane""",Miss.
"Gustafsson, Mr. Alfred Ossian",Mr.
"Petroff, Mr. Nedelio",Mr.
"Laleff, Mr. Kristo",Mr.
"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",Mrs.
"Shelley, Mrs. William (Imanita Parrish Hall)",Mrs.
"Markun, Mr. Johann",Mr.
"Dahlberg, Miss. Gerda Ulrika",Miss.
"Banfield, Mr. Frederick James",Mr.
"Sutehall, Mr. Henry Jr",Mr.
"Rice, Mrs. William (Margaret Norton)",Mrs.
"Graham, Miss. Margaret Edith",Miss.
"Johnston, Miss. Catherine Helen ""Carrie""",Miss.
"Behr, Mr. Karl Howell",Mr.
"Dooley, Mr. Patrick",Mr.
